City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Huilong,CN,2020-08-23 20:05:58,31.81,121.66,82.99,90,0,6.35,clear sky
233,Jilin,CN,2020-08-23 20:09:08,43.0,126.0,64.2,92,100,3.38,light rain
234,Portland,US,2020-08-23 20:04:47,45.52,-122.68,77.0,53,1,5.82,clear sky
235,Makaryev,RU,2020-08-23 20:09:08,57.88,43.81,59.5,73,100,5.44,overcast clouds
236,Sham Churasi,IN,2020-08-23 20:09:08,31.5,75.75,80.62,77,0,7.76,clear sky
237,Half Moon Bay,US,2020-08-23 20:02:39,37.46,-122.43,80.01,60,75,13.87,haze
238,Constitucion,CL,2020-08-23 20:05:45,-35.33,-72.42,53.51,74,100,18.59,overcast clouds
239,Hovd,MN,2020-08-23 20:05:05,48.01,91.64,59.49,44,29,9.15,scattered clouds
240,Labranzagrande,CO,2020-08-23 20:09:09,5.56,-72.58,72.41,74,81,3.67,moderate rain
241,Cayenne,GF,2020-08-23 20:05:08,4.93,-52.33,86.0,74,7,11.41,light rain
242,Natal,BR,2020-08-23 20:09:09,-5.79,-35.21,80.6,61,17,18.34,few clouds
243,Kahului,US,2020-08-23 19:59:30,20.89,-156.47,87.8,43,20,20.8,few clouds
244,Buenaventura,CO,2020-08-23 20:04:33,3.88,-77.03,82.74,73,54,6.98,light rain
245,Benghazi,LY,2020-08-23 20:09:10,32.12,20.07,79.41,74,0,12.5,clear sky
246,Pacific Grove,US,2020-08-23 20:04:58,36.62,-121.92,80.01,60,40,3.36,haze
247,Nisia Floresta,BR,2020-08-23 20:09:10,-6.09,-35.21,80.6,61,32,18.34,scattered clouds
248,Davila,PH,2020-08-23 20:09:11,18.47,120.58,81.23,76,59,17.92,broken clouds
249,Turukhansk,RU,2020-08-23 20:09:11,65.82,87.98,52.23,89,59,9.08,broken clouds
250,Ushtobe,KZ,2020-08-23 20:09:11,45.25,77.98,71.19,25,93,6.04,overcast clouds
251,Rocha,UY,2020-08-23 20:03:55,-34.48,-54.33,60.4,68,0,7.87,clear sky
252,Les Cayes,HT,2020-08-23 20:09:11,18.2,-73.75,78.03,87,100,18.84,moderate rain
253,Coihaique,CL,2020-08-23 20:05:10,-45.58,-72.07,37.4,86,90,3.36,light rain
254,Nedjo,ET,2020-08-23 20:07:06,9.5,35.5,58.71,99,100,3.09,light rain
